sentence,cluster,title,cluster_label
"The London-bound aircraft crashed into a residential area shortly after take-off killing all but one of the 242 passengers and crew members, a 40-year-old British man.",63,Air India plane crash death toll rises to 270 | BBC News,"crashed, london, ahmedabad, air, air india"
"Today

An Air India flight to London crashed shortly after take-off near the Ahmedabad airport on Thursday afternoon.",63,Ahmedabad Plane Crash Live Updates: Rescue Operations Continue In Air India Disaster | India Today,"crashed, london, ahmedabad, air, air india"
Tragedy struck on Thursday afternoon as an Air India flight headed to London crashed near Ahmedabad airport shortly after take-off.,63,Live: Air India Ahmedabad?London Flight Crashes Minutes After Takeoff,"crashed, london, ahmedabad, air, air india"
"In a tragic incident, an Air India flight to London crashed shortly after take-off near the Ahmedabad airport on Thursday afternoon.",63,How Air India Flight Crashed Just After Take Off | Plane Crash | Ahmedabad | India Today,"crashed, london, ahmedabad, air, air india"
"An Air India flight, en route to London from Ahmedabad, crashed in a residential area, during takeoff.",63,Breaking | Air India Flight With 242 Passengers Crashes Minutes After Takeoff At Ahmedabad Airport,"crashed, london, ahmedabad, air, air india"
"An Air India flight from Ahmedabad to London crashed minutes after takeoff, with 53 British passport holders onboard.",63,Experts Discuss What May Have Caused The Crash Of Air India Plane In Ahmedabad Minutes After Takeoff,"crashed, london, ahmedabad, air, air india"
"An Air India plane has crashed shortly after taking off from Ahmedabad airport in western India, local media has reported.",62,Air India plane crashes shortly after take off in Ahmedabad,"india, ahmedabad, crashed, air, air india"
"An Air India plane carrying 242 passengers and crew crashed shortly after takeoff in the city of Ahmedabad on Thursday, the airline said.",62,Video shows Air India plane crashing in Ahmedabad,"india, ahmedabad, crashed, air, air india"
"An Air India plane has crashed in Gujarat's Ahmedabad, confirms the State Police Control Room.",62,Ahmedabad Plane Crash | Air India Flight With 242 Crashes Into Students' Hostel | WION,"india, ahmedabad, crashed, air, air india"
"PlaneCrash: An Air India plane bound for London crashed in a locality near Ahmedabad airport on June 12, soon after taking off, police said.",62,Ahmedabad Plane Crash: First Visuals From Air India Flight Crash Site; Rescue Ops Underway | N18V,"india, ahmedabad, crashed, air, air india"
"An airplane crashed in India?s north-western city of Ahmedabad in Gujarat state on Thursday, the Press Trust of India news agency reported.",62,Smoke rises above Ahmedabad in first images from Air India plane crash,"india, ahmedabad, crashed, air, air india"
An Air India passenger aircraft carrying 242 passengers crashed near Ahmedabad airport shortly after takeoff.,62,"Ahmedabad Plane Crash: Air India Flight Crashes Near Ahmedabad Airport, 242 Passengers On Board","india, ahmedabad, crashed, air, air india"
"The aircraft, carrying 242 people ? including 230 passengers and 12 crew members ? plunged near the Sardar Vallabhbhai Patel International Airport shortly after its 1:10 PM IST departure.",62,Ahmedabad Plane Crash Shocking VIDEO: Moment Air India Flight With 242 People Crashes Near Ahmedabad,"india, ahmedabad, crashed, air, air india"
An Air India plane carrying 217 adults and 11 children crashed minutes after taking off from India?s Ahmedabad on Thursday.,62,"Air India plane crashes after takeoff in Ahmedabad, 'many' killed","india, ahmedabad, crashed, air, air india"
An Air India plane with 242 people onboard on Thursday crashed in Gujarat's Meghani Nagar area near Ahmedabad airport.,62,BREAKING LIVE: London-Bound Air India Flight Crashes Near Ahmedabad | London Gatwick Flight News,"india, ahmedabad, crashed, air, air india"
"An Air India passenger plane bound for London with more than 240 people on board crashed and exploded after takeoff Thursday in India?s northwestern city of Ahmedabad, officials said.",62,Wreckage at crash site as Air India flight crashes shortly after take off from Ahmedabad airport,"india, ahmedabad, crashed, air, air india"
An Air India passenger plane carrying 242 people has crashed near Ahmedabad?s Sardar Vallabhbhai Patel International Airport shortly after takeoff.,62,Ahmedabad Plane Crash Kills Over 260 People: World Mourns Air India's Major Tragedy | WATCH,"india, ahmedabad, crashed, air, air india"
An Air India passenger plane bound for Gatwick airport with more than 240 people on board has crashed shortly after takeoff from the north-western Indian city of Ahmedabad.,62,Footage shows aftermath at Air India flight 171 crash site,"india, ahmedabad, crashed, air, air india"
The Boeing plane operated by Air India crashed into a residential area in the city of Ahmedabad.,62,Video captures moment Air India flight crashes | DW News,"india, ahmedabad, crashed, air, air india"
An Air India plane bound for London with more than 240 people on board has crashed in India's western city of Ahmedabad.,62,No known survivors in Air India Flight 171 crash: City police commissioner,"india, ahmedabad, crashed, air, air india"
Live: Air India Ahmedabad?London Flight Crashes Minutes,61,Live: Air India Ahmedabad?London Flight Crashes Minutes After Takeoff,"ahmedabad, flight, london, air, air india"
BREAKING LIVE: London-Bound Air India Flight Crashes Near Ahmedabad | London Gatwick Flight News.,61,BREAKING LIVE: London-Bound Air India Flight Crashes Near Ahmedabad | London Gatwick Flight News,"ahmedabad, flight, london, air, air india"
London-bound Air India flight crashes in Ahmedabad. .,61,London-bound Air India flight crashes in Ahmedabad,"ahmedabad, flight, london, air, air india"
Air India flight to London Gatwick crashes in Ahmedabad.,61,Air India flight to London Gatwick crashes in Ahmedabad,"ahmedabad, flight, london, air, air india"
Plane Crash in Ahmedabad Live:Air India Flight To London Crashes Moments After Take-Off In Ahmedabad.,61,Plane Crash in Ahmedabad Live:Air India Flight To London Crashes Moments After Take-Off In Ahmedabad,"ahmedabad, flight, london, air, air india"
"Ahmedabad to London (Gatwick) airport, had crashed into a residential area (Meghani nagar) take off at 1:38 p.m. crashed 5 minutes after take off with Pilot in Command Sumit Sabharwal co-Pilot Clive Kunder.",61,Plane Crash in Ahmedabad Live:Air India Flight To London Crashes Moments After Take-Off In Ahmedabad,"ahmedabad, flight, london, air, air india"
Air India plane crash death toll rises to 270 | BBC News.,60,Air India plane crash death toll rises to 270 | BBC News,"india, air, air india, ahmedabad, crash"
